01_afterA	Marius verbrachte den Tag mit seiner Familie im Zoo. Endlich kamen sie zu seinem liebsten Bereich im Zoo, auf den er sich schon lange gefreut hatte.
02_afterB	Tamara fuhr mit dem Reisebus ihre Eltern besuchen.Sie konnte es kaum erwarten, die beiden nach langer Zeit wieder zu sehen.
03_beforeA	Lukas wollte zu einer Hochzeit gehen.Da ihm sein alter Anzug zu klein war, ging er in aller Eile zum Herrenausstatter.
04_beforeB	Martha war schon lange nicht mehr in der Eissporthalle gewesen.Mit einigen Freunden wollte sie heute endlich mal wieder dort hin.
05_afterA	Peter ging zum Abendessen in sein Lieblingsrestaurant.Er setzte sich auf einen freien Platz direkt neben dem Fenster.
06_afterB	Lara ging zum Friseur, um sich die Haare schneiden zu lassen.Sie ging schon seit Jahren zu ihm und war immer zufrieden gewesen.
07_beforeA	Tobias besuchte die Geburtstagsfeier seiner Kommilitonin Janina.Er war noch nie bei ihr zuhause gewesen und war gespannt auf die Wohnung.
08_beforeB	Florian machte am Wochenende einen Großeinkauf.Im Supermarkt arbeitete er seine lange Einkaufsliste nach und nach ab.
09_afterA	Sina wachte morgens um sechs auf und gähnte.Draußen war es kalt und sie stellte sich in die warme Dusche.
10_afterB	Lisa hatte lang gearbeitet und wollte früh ins Bett gehen.Sie entfernte ihr Make-up und putzte sich die Zähne.
11_beforeA	Jonas wachte spät auf und gönnte sich ein ausgiebiges Frühstück.Er wollte endlich mal wieder Pfannkuchen selbst machen.
12_beforeB	Markus musste eine große Menge Wäsche waschen.Er konnte es nicht länger aufschieben und ging in die Waschküche.
13_afterA	Jan hatte Hunger und wollte Nudeln mit Pesto kochen.Er würde seine Mutter damit überraschen, wenn sie von der Arbeit kam.
14_afterB	Fred war ein guter Boxer.Als bester Boxer seines Vereins hatte er auch an diesem Wochenende wieder einen Kampf.
15_beforeA	Ben hatte einige Zeit in Indien gelebt und liebte das indische Essen.Auch heute Abend wollte er wieder ein Curry kochen.
16_beforeB	Nina wollte einkaufen gehen, hatte aber überhaupt kein Bargeld bei sich.Sie lief schnell zur nächsten Bank und stellte sich am Schalter an.
17_afterA	Maren ging wie jeden Donnerstag ins Fitnesstudio.Das Trainieren machte ihr Spaß und sie freute sich auf das Training.
18_afterB	Marius wachte gähnend auf.Er hatte sich die ganze Nacht schlaflos im Bett gewälzt und brauchte dringend einen Kaffee.
19_beforeA	Leas Brieffreund Till hatte ihr endlich wieder geschrieben.Sie hatte lange auf eine Nachricht gewartet und wollte sofort zurückschreiben.
20_beforeB	Britta hatte einen großen Garten mit vielen Obstbäumen.Sie erntete viele Früchte und wollte daraus Marmelade machen.
21_afterA	Max hatte Zahnschmerzen und ging zur Zahnärztin. Er hatte Angst vor der Untersuchung, weil er schlechte Erfahrungen gemacht hatte.
22_afterB	Melissa war auf den Malediven und wollte Tauchen gehen.Mit ihren Freunden buchte sie eine Tauchstunde an einem nahen Korallenriff.
23_beforeA	Katrin duschte nach dem Aufstehen und fröstelte.Sie nutzte die Zeit unter dem warmen Wasserstrahl, um ihren Tag zu planen.
24_beforeB	Petra und ihre Familie wollten einen Grillabend veranstalten.Sie bereitete Vorspeisen vor und ließ ihre Kinder den Tisch decken.
25_afterA	Emil hatte für eine Gruppe von Freunden gekocht.Nachdem alle gegangen waren, stand ein Haufen dreckiges Geschirr in der Küche.
26_afterB	Fabian hatte Lust auf Pizza.Er machte einen Hefeteig, den er gehen ließ, während er den Einkauf erledigte.
27_beforeA	Laura hatte immer mittwochabends Fußballtraining.Als sie ankam, waren die anderen schon alle da, und sie musste sich beeilen.
28_beforeB	Marie hatte voller Freude die ersten süßen Erdbeeren des Frühjahrs gekauft.Jetzt wollte sie einen Erbeerkuchen zubereiten.
29_afterA	Barbara hatte viele Pflanzen in ihrer Wohnung und war stolz auf die bunte Pracht.Sie wollte heute einige Blumen in größere Gefäße umtopfen.
30_afterB	Ella nähte sich Klamotten mit ihrer Nähmaschine.Sie hatte ein Schnittmuster ausgesucht und war dabei, eine blaue Jacke zu nähen.
31_beforeA	Anna schrieb die letzte große Klausur vor den Semesterferien.Sie hatte die ganzen letzten Wochen gelernt, aber sie war trotzdem sehr nervös.
